student_id,skill,exercise_id,correct,hint_count,attempt_count,response_time,time_interval
92710,Solving Systems of Linear Equations by Graphing,128417,1,0,1,20,0
92711,Ordering Positive Decimals,85716,1,0,1,27,0
92711,Complementary and Supplementary Angles,139959,1,0,1,26,0
92713,Square Root,401225,1,0,1,62,0
92717,"Order of Operations +,-,/,* () positive reals",51162,1,0,1,50,0
92717,Equation Solving Two or Fewer Steps,97539,1,0,1,82,0
92724,D.4.8-understanding-concept-of-probabilities,75239,1,0,1,22,0
92729,Proportion,86583,1,0,1,58,0
92763,Perimeter of a Polygon,171594,0,0,1,71,0
92763,Solving for a variable,55098,1,0,1,63,0
92768,Mean,91061,1,0,1,51,0
92768,Point Plotting,114096,1,0,1,21,0
92774,Distributive Property,187254,1,0,1,63,0
92777,Unit Conversion Within a System,124206,1,0,1,56,0
92779,"Order of Operations +,-,/,* () positive reals",84593,0,0,2,52,0
92780,Conversion of Fraction Decimals Percents,85828,1,0,1,13,0
92794,Equation Solving Two or Fewer Steps,88311,1,0,1,60,0
92794,Division Fractions,218757,1,0,1,26,0
92795,Equation Solving Two or Fewer Steps,87615,0,0,2,103,0
92796,Area Rectangle,169726,0,0,1,56,0
92796,"Order of Operations +,-,/,* () positive reals",84609,1,0,1,33,0
92796,Scientific Notation,188895,0,0,1,58,0
92799,Range,217708,1,0,1,41,0
92800,Percent Of,222014,0,3,4,121,0
92800,Square Root,89681,1,0,1,102,0
92800,Scientific Notation,188867,1,0,1,33,0
92800,Solving Systems of Linear Equations by Graphing,128425,1,0,1,561,0
92804,Percent Of,221961,0,0,1,23,0
92804,Unit Conversion Within a System,124226,0,0,1,31,0
92804,Percent Of,221937,0,0,1,52,0
92806,Exponents,88198,1,0,1,21,0
92806,Percent Of,221988,1,0,1,20,0
92806,Equation Solving Two or Fewer Steps,94683,1,0,1,52,0
92806,Write Linear Equation from Ordered Pairs,420657,1,0,1,92,0
92809,Equation Solving Two or Fewer Steps,88349,1,0,1,122,0
92809,Equation Solving More Than Two Steps,107905,1,0,1,128,0
92810,Ordering Integers,53296,1,0,1,27,0
92810,Recognize Linear Pattern,122311,1,0,1,32,0
92812,Division Fractions,87132,0,0,1,103,0
92812,Pythagorean Theorem,140527,1,0,1,69,0
92813,Conversion of Fraction Decimals Percents,85850,1,0,1,60,0
93490,Addition and Subtraction Fractions,86359,1,0,1,62,0
93519,Addition and Subtraction Integers,53896,1,0,1,37,0
93519,Pythagorean Theorem,140533,1,0,1,86,0
93519,Complementary and Supplementary Angles,139936,1,0,1,53,0
93523,Volume Rectangular Prism,75441,1,0,1,139,0
93549,Ordering Positive Decimals,85699,1,0,1,22,0
93549,Least Common Multiple,86221,1,0,1,230,0
93567,Write Linear Equation from Situation,49739,1,0,1,25,0
93574,Equation Solving More Than Two Steps,108293,0,0,0,228,0
93578,Ordering Positive Decimals,52834,1,0,1,43,0
93578,Equation Solving Two or Fewer Steps,97709,0,0,2,73,0
93581,Equation Solving Two or Fewer Steps,97659,0,0,2,127,0
93581,Write Linear Equation from Slope and y-intercept,420646,1,0,1,59,0
93657,Equation Solving More Than Two Steps,108278,1,0,1,30,0
93657,Proportion,87326,1,0,1,52,0
93657,Point Plotting,114113,0,0,2,60,0
93657,Point Plotting,114073,1,0,1,26,0
93670,Write Linear Equation from Graph,423056,1,0,1,217,0
93670,Pythagorean Theorem,140524,1,0,1,177,0
93671,Addition and Subtraction Fractions,86319,0,0,2,172,0
93671,Equation Solving More Than Two Steps,108263,0,0,1,64,0
93680,Equation Solving Two or Fewer Steps,87482,1,0,1,76,0
93680,Median,91126,1,0,1,104,0
93684,Perimeter of a Polygon,171698,0,0,1,109,0
93703,Equation Solving Two or Fewer Steps,88329,1,0,1,307,0
93703,Volume Rectangular Prism,75464,1,0,1,24,0
93703,Equation Solving Two or Fewer Steps,87836,1,0,1,90,0
93703,Least Common Multiple,86187,1,0,1,146,0
93703,D.4.8-understanding-concept-of-probabilities,75231,1,0,1,28,0
93709,Equation Solving Two or Fewer Steps,88386,0,3,3,141,0
93780,Calculations with Similar Figures,94982,1,0,1,43,0
93794,Write Linear Equation from Graph,423064,0,0,1,675,0
93801,Multiplication Fractions,54162,1,0,1,89,0
94128,Proportion,87292,1,0,1,198,0
94136,Pythagorean Theorem,196811,1,0,1,156,0
96359,Addition and Subtraction Positive Decimals,187669,0,2,2,69,0
96359,Surface Area Cylinder,126315,1,0,1,96,0
96359,Square Root,102494,1,0,1,32,0
96400,Scatter Plot,56682,0,0,1,56,0
96400,Ordering Positive Decimals,66526,1,0,1,58,0
96400,Finding y-intercept from Linear Equation,137342,1,0,1,115,0
96403,Equation Solving More Than Two Steps,108105,1,0,1,103,0
96418,Pythagorean Theorem,650479,1,0,1,118,0
96419,Square Root,401195,1,0,1,99,0
96419,Finding Percents,1085,0,0,1,182,0
96434,Equation Solving Two or Fewer Steps,88333,1,0,1,15,0
96435,Proportion,86583,1,0,1,36,0
96440,Division Fractions,218704,1,0,1,155,0
96440,Combining Like Terms,248605,1,0,1,104,0
96440,Equation Solving More Than Two Steps,163292,0,3,2,165,0
96442,Combining Like Terms,248631,1,0,1,125,0
96442,Square Root,185501,1,0,1,29,0
96442,Pythagorean Theorem,140150,0,0,2,385,0
96447,Pythagorean Theorem,79572,1,0,1,52,0
96447,Pythagorean Theorem,79353,1,0,1,154,0
96448,Absolute Value,20381,1,0,1,355,0
96828,Picking Expressions From Choices,685317,1,0,1,37,0
96960,Order of Operations All,51043,0,4,1,12,0
96971,Division Fractions,218678,1,0,1,277,0
96971,Percent Of,221957,1,0,1,120,0
96978,Scale Factor,86261,1,0,2,148,0
96978,Least Common Multiple,246945,1,0,1,86,0
96981,Area Trapezoid,89290,1,0,1,68,0
96983,Proportion,86710,1,0,1,93,0
96984,Area Circle,89431,0,5,2,103,0
96987,Combining Like Terms,248639,0,3,1,57,0
96987,Equation Solving Two or Fewer Steps,88292,1,0,1,49,0
97278,Equation Solving More Than Two Steps,163378,0,4,1,106,0
97279,Solving for a variable,55273,1,0,1,198,0
97279,Surface Area Rectangular Prism,127443,1,0,1,139,0
97283,Equation Solving Two or Fewer Steps,88149,1,0,1,39,0
97283,Surface Area Sphere,126790,0,0,1,132,0
97384,Ordering Real Numbers,187503,0,2,1,162,0
97384,Equation Solving More Than Two Steps,163277,0,0,1,70,0
97396,Equation Solving More Than Two Steps,163483,1,0,1,53,0
97396,Equation Solving More Than Two Steps,163547,1,0,1,140,0
97397,Surface Area Sphere,126812,1,0,1,96,0
97404,Algebraic Solving,163523,1,0,1,128,0
97505,Combining Like Terms,248612,1,0,1,75,0
97521,Equation Solving More Than Two Steps,163534,0,0,1,58,0
97522,Equation Solving Two or Fewer Steps,88142,1,0,1,29,0
97522,Proportion,86691,1,0,1,86,0
97522,Ordering Real Numbers,187511,0,0,1,62,0
97522,Scale Factor,86383,0,4,3,118,0
97522,Order of Operations All,51036,1,0,1,96,0
97526,Equation Solving Two or Fewer Steps,88346,1,0,1,149,0
97526,Pythagorean Theorem,140237,1,0,1,97,0
99597,Equation Solving More Than Two Steps,163426,0,3,2,129,0
99819,Interior Angles Figures with More than 3 Sides,137485,0,0,3,227,0
100558,Addition and Subtraction Integers,189224,1,0,1,18,0
100559,Venn Diagram,93219,1,0,1,57,0
100559,Venn Diagram,93162,1,0,1,84,0
100561,Pattern Finding ,172855,1,0,1,55,0
100561,Area Circle,170711,1,0,1,41,0
100566,Substitution,125672,0,0,1,52,0
100568,Write Linear Equation from Ordered Pairs,167324,0,4,2,170,0
100571,Addition and Subtraction Integers,189246,1,0,1,52,0
100572,Distributive Property,161741,1,0,1,79,0
100572,Finding y-intercept from Linear Equation,137305,1,0,1,62,0
100573,Solving for a variable,55333,1,0,1,135,0
100574,Range,109830,1,0,1,66,0
100576,Pattern Finding ,172889,1,0,1,65,0
100576,Write Linear Equation from Ordered Pairs,167378,1,0,1,78,0
100576,Write Linear Equation from Slope and y-intercept,201710,1,0,1,67,0
100578,Probability of Two Distinct Events,139615,0,0,5,80,0
100582,Square Root,89697,1,0,1,35,0
100652,Probability of Two Distinct Events,139575,0,0,0,217,0
100652,Probability of Two Distinct Events,139500,1,0,1,19,0
100652,Area Circle,170777,1,0,1,119,0
101691,Range,110146,1,0,1,55,0
101699,Multiplication and Division Integers,90202,0,0,2,57,0
101701,Equation Solving Two or Fewer Steps,87485,1,0,1,34,0
101712,Combining Like Terms,248642,1,0,1,101,0
101906,Solving for a variable,57259,1,0,1,176,0
101906,Unit Rate,185896,1,0,1,261,0
101933,Conversion of Fraction Decimals Percents,84945,1,0,1,23,0
101941,Addition and Subtraction Fractions,186646,1,0,1,140,0
101941,Complementary and Supplementary Angles,139943,1,0,1,80,0
101941,Perimeter of a Polygon,171631,1,0,1,71,0
101941,Recognize Linear Pattern,122257,0,0,3,72,0
101943,Addition and Subtraction Fractions,186671,1,0,1,340,0
101944,Properties and Classification Rectangular Prisms,257717,0,0,1,50,0
101952,Median,257030,0,2,3,1752,0
101955,Finding Slope from Ordered Pairs,148780,1,0,1,36,0
101960,Equation Solving Two or Fewer Steps,87506,0,0,2,41,0
101960,Finding Slope from Ordered Pairs,148894,0,3,2,115,0
102033,Median,257034,1,0,1,117,0
102033,Finding Slope from Ordered Pairs,148882,1,0,1,72,0
102035,Finding Slope From Equation,129628,1,0,1,56,0
102036,Median,257232,1,0,1,114,0
102041,Addition and Subtraction Integers,189207,1,0,1,56,0
102053,Recognize Linear Pattern,122292,1,0,1,81,0
102061,D.4.8-understanding-concept-of-probabilities,75227,1,0,1,22,0
102061,Range,92366,1,0,1,82,0
102076,Exponents,51632,0,0,3,61,0
102269,Median,340710,1,0,1,86,0
102347,Division Fractions,218736,0,5,2,55,0
102347,Division Fractions,218727,1,0,1,143,0
102617,Conversion of Fraction Decimals Percents,84974,1,0,1,48,0
102617,Properties and Classification Polygons with 5 or more sides,265888,1,0,1,44,0
103643,Area Rectangle,169741,0,0,2,65,0
103643,Mean,91517,1,0,1,32,0
103643,Write Linear Equation from Slope and y-intercept,201703,1,0,1,104,0
103645,Order of Operations All,84632,1,0,1,18,0
103648,Proportion,86583,0,1,2,423,0
103648,Proportion,86655,1,0,1,46,0
103648,Pythagorean Theorem,140423,1,0,1,25,0
103650,Rounding,88414,1,0,1,43,0
103651,Addition and Subtraction Integers,53937,1,0,1,40,0
103655,Square Root,80670,1,0,1,69,0
103689,Substitution,125666,1,0,1,26,0
104034,Equation Solving More Than Two Steps,163461,1,0,1,45,0
104815,Properties and Classification Triangles,12516,0,0,2,51,0
105397,Simplifying Expressions positive exponents,152887,1,0,1,145,0
105465,Square Root,89660,1,0,1,16,0
105616,Multiplication and Division Integers,54163,1,0,1,49,0
105616,Multiplication and Division Integers,54364,1,0,1,47,0
105616,Equation Solving Two or Fewer Steps,88129,1,0,1,48,0
105616,Finding Slope from Ordered Pairs,148903,0,3,3,99,0
105773,Combining Like Terms,248663,1,0,1,91,0
105773,Complementary and Supplementary Angles,139953,1,0,1,64,0
105773,Write Linear Equation from Ordered Pairs,167332,0,5,2,15,0
105799,Substitution,341,1,0,1,54,0
105806,Addition and Subtraction Integers,53835,1,0,1,44,0
105806,Addition and Subtraction Integers,53879,1,0,1,45,0
105824,Addition and Subtraction Fractions,186668,0,0,1,38,0
105850,Simplifying Expressions positive exponents,152906,0,4,2,201,0
105851,Equation Solving Two or Fewer Steps,87864,1,0,1,52,0
105852,Finding y-intercept from Linear Equation,137266,1,0,1,21,0
105870,Distributive Property,187211,1,0,1,15,0
106647,Write Linear Equation from Ordered Pairs,167295,1,0,1,92,0
106647,Proportion,86658,1,0,1,17,0
108647,Addition and Subtraction Integers,89729,1,0,1,29,0
108647,Addition and Subtraction Integers,84889,1,0,1,68,0
108647,Median,257290,0,0,1,250,0
108824,Equation Solving Two or Fewer Steps,88135,1,0,1,10,0
109003,Multiplication Fractions,86895,0,3,1,139,0
109278,Addition and Subtraction Integers,53838,0,4,3,65,0
109617,Prime Number,88020,1,0,1,54,0
117139,Addition and Subtraction Integers,89860,0,0,3,57,0
117862,Addition and Subtraction Integers,89662,0,0,1,93,0
117905,Finding Slope from Ordered Pairs,148771,1,0,1,175,0
117909,Multiplication Fractions,86776,1,0,1,46,0
117934,Multiplication and Division Integers,94828,1,0,1,31,0
117934,Finding Slope from Ordered Pairs,148771,0,3,2,201,0
118132,Exponents,659415,0,0,1,62,0
118397,Equation Solving Two or Fewer Steps,87713,0,1,3,225,0
118407,Ordering Integers,66588,1,0,1,11,0
118409,Order of Operations All,50991,1,0,1,451,0
118426,Equivalent Fractions,372501,0,3,4,8,0
118427,Addition and Subtraction Fractions,186599,0,0,1,71,0
118435,Order of Operations All,51002,1,0,1,418,0
118440,Multiplication and Division Integers,90185,1,0,1,26,0
118442,Addition and Subtraction Integers,89915,0,1,4,57,0
118457,Scale Factor,86256,0,4,2,79,0
118460,Equation Solving More Than Two Steps,163458,1,0,1,105,0
118461,Addition and Subtraction Positive Decimals,1144,1,0,1,195,0
118467,"Order of Operations +,-,/,* () positive reals",534418,1,0,1,108,0
118472,Equation Solving Two or Fewer Steps,122116,1,0,1,73,0
118472,Calculations with Similar Figures,71813,1,0,1,60,0
118488,"Angles - Obtuse, Acute, and Right",140059,1,0,1,40,0
118488,Box and Whisker,289549,0,1,1,7,0
118489,Median,91561,1,0,1,67,0
118489,"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",162121,1,0,1,60,0
118523,Order of Operations All,51059,0,3,7,58,0
118523,Finding y-intercept from Linear Equation,137258,1,0,1,77,0
118529,Probability of Two Distinct Events,139452,1,0,1,68,0
118531,Solving Systems of Linear Equations,201065,1,0,1,116,0
118546,Equation Solving Two or Fewer Steps,97755,1,0,1,104,0
118560,Prime Number,91474,0,4,2,109,0
118563,Addition and Subtraction Integers,532432,0,0,1,14,0
118563,Multiplication and Division Integers,54358,0,0,1,182,0
118563,Multiplication and Division Integers,54328,1,0,1,37,0
118563,Addition and Subtraction Integers,89713,1,0,1,25,0
118578,Mean,248208,1,0,1,90,0
118578,Histogram as Table or Graph,51336,1,0,1,98,0
118578,Rounding,88494,1,0,1,71,0
118578,Addition and Subtraction Fractions,186679,1,0,1,77,0
118578,Distributive Property,187115,1,0,1,42,0
118580,Volume Pyramid,127807,0,2,3,150,0
118580,Area Triangle,170036,1,0,1,65,0
118598,Exponents,58786,0,0,2,77,0
118600,Interior Angles Figures with More than 3 Sides,137484,1,0,1,39,0
118600,Division Fractions,402019,0,4,3,115,0
118600,Divisibility Rules,121782,1,0,1,22,0
118600,Exponents,51599,1,0,1,45,0
118600,Prime Number,87979,1,0,1,49,0
118604,Ordering Positive Decimals,52822,1,0,1,7,0
118604,Equation Solving Two or Fewer Steps,88125,1,0,1,63,0
118604,Area Irregular Figure,171124,1,0,1,42,0
118633,Addition and Subtraction Integers,89860,1,0,1,6,0
118634,Rounding,88420,1,0,1,58,0
118634,Order of Operations All,51006,0,0,1,163,0
118642,Addition and Subtraction Integers,89929,1,0,1,64,0
118643,Distributive Property,187234,1,0,1,19,0
118645,Rounding,88487,0,4,2,59,0
118646,Divisibility Rules,87595,0,2,4,445,0
118646,Divisibility Rules,87585,0,2,4,86,0
118647,Equation Solving Two or Fewer Steps,107872,0,0,1,44,0
118652,Addition and Subtraction Integers,89964,1,0,1,56,0
118666,Distributive Property,187138,1,0,1,37,0
118668,Equation Solving Two or Fewer Steps,87792,1,0,1,76,0
118669,Equation Solving Two or Fewer Steps,87886,0,0,2,19,0
118669,Equation Solving Two or Fewer Steps,87811,1,0,1,33,0
118669,Equivalent Fractions,659457,0,0,1,50,0
118669,Nets of 3D Objects,659408,1,0,1,25,0
118674,Multiplication and Division Integers,90179,0,4,2,91,0
118674,Proportion,210629,1,0,1,35,0
118674,Equation Solving Two or Fewer Steps,122085,0,2,2,98,0
118674,Divisibility Rules,87599,0,3,4,222,0
118675,Least Common Multiple,246927,0,5,3,44,0
118685,Finding Slope from Ordered Pairs,148771,1,0,1,43,0
118691,Square Root,80694,1,0,1,56,0
118720,Addition and Subtraction Integers,89756,1,0,1,29,0
118723,Addition and Subtraction Integers,89970,1,0,1,55,0
118724,Median,256709,0,0,1,134,0
118724,Median,256926,1,0,1,218,0
118725,Substitution,29050,0,0,2,120,0
118737,Multiplication and Division Integers,54337,1,0,1,31,0
118742,Area Circle,172385,0,0,1,96,0
118742,Area Trapezoid,173119,1,0,1,96,0
118743,Order of Operations All,51009,1,0,1,91,0
118744,Equivalent Fractions,210652,1,0,1,84,0
118746,Addition and Subtraction Integers,89932,1,0,1,25,0
118749,Equivalent Fractions,210608,1,0,1,114,0
118754,Finding Slope From Situation,148838,1,0,1,240,0
118774,Order of Operations All,84635,0,0,1,45,0
118774,Equation Solving Two or Fewer Steps,122063,0,2,2,148,0
118777,Surface Area Rectangular Prism,659419,0,0,1,75,0
118780,Divisibility Rules,87435,0,3,1,71,0
118782,Least Common Multiple,86196,1,0,1,30,0
118782,Divisibility Rules,87538,1,0,1,46,0
119261,Addition and Subtraction Integers,89754,1,0,1,41,0
119281,Interior Angles Figures with More than 3 Sides,137549,1,0,1,77,0
119281,Simplifying Expressions positive exponents,149090,0,3,2,38,0
119281,Unit Rate,185938,1,0,1,59,0
119281,Proportion,86706,1,0,1,110,0
119334,Median,91242,1,0,1,68,0
119334,Interior Angles Triangle,254075,1,0,1,56,0
119334,Equation Solving Two or Fewer Steps,87770,1,0,1,96,0
119334,Addition and Subtraction Fractions,409352,0,3,2,183,0
119478,Unit Conversion Standard to Metric,125564,1,0,1,56,0
119478,Equation Solving More Than Two Steps,163407,1,0,1,52,0
119478,Polynomial Factors,160540,1,0,1,56,0
119480,Greatest Common Factor,122012,1,0,1,58,0
119481,Finding Slope from Graph,650099,1,0,1,26,0
119515,Median,256637,1,0,1,77,0
119515,Picking Equation and Inequality from Choices,39645,1,0,1,353,0
119515,Equation Solving Two or Fewer Steps,88365,0,0,3,124,0
119515,Area Trapezoid,171423,1,0,1,77,0
119519,Histogram as Table or Graph,93063,1,0,1,68,0
119558,Finding Slope From Equation,129563,1,0,1,8,0
119572,Order of Operations All,84644,1,0,1,59,0
119590,Finding Percents,186521,0,0,2,74,0
119594,Addition and Subtraction Integers,89899,1,0,1,53,0
119627,Division Fractions,218755,1,0,1,45,0
119739,Write Linear Equation from Situation,49724,1,0,1,15,0
119882,Volume Cylinder,127052,1,0,1,79,0
119882,Pythagorean Theorem,79560,1,0,1,70,0
119886,Equation Solving Two or Fewer Steps,87818,1,0,1,35,0
119902,Polynomial Factors,134738,0,3,1,70,0
119969,Proportion,87275,0,5,1,271,0
119969,Simplifying Expressions positive exponents,149166,1,0,1,18,0
119969,Simplifying Expressions positive exponents,149281,0,3,19,251,0
119973,Choose an Equation from Given Information,14598,1,0,1,54,0
119995,Simplifying Expressions positive exponents,149054,1,0,1,31,0
119995,Volume Sphere,126229,0,4,2,91,0
120014,Simplifying Expressions positive exponents,149091,1,0,1,37,0
120014,Pythagorean Theorem,79938,1,0,1,70,0
120076,Proportion,87368,1,0,1,46,0
120121,Rate,22062,1,0,1,127,0
120126,Finding Slope from Ordered Pairs,148842,1,0,1,248,0
120145,Properties and Classification Rectangular Prisms,257651,1,0,1,11,0
120151,Calculations with Similar Figures,39349,0,0,3,22,0
120151,Quadratic Formula to Solve Quadratic Equation,170244,0,3,1,128,0
120254,Addition and Subtraction Fractions,53781,1,0,1,82,0
120254,Distributive Property,187106,1,0,1,145,0
120278,Circumference ,583739,1,0,1,124,0
120279,Square Root,583738,0,0,1,27,0
120284,Properties and Classification Quadrilaterals,558096,1,0,1,29,0
120288,Area Irregular Figure,673298,1,0,1,53,0
120289,Equation Solving Two or Fewer Steps,685454,1,0,1,436,0
120293,Midpoint,583744,1,0,1,90,0
120298,Circumference ,620392,1,0,1,93,0
120299,Area Parallelogram,672556,1,0,1,62,0
120302,Point Plotting,583730,1,0,1,68,0
120305,Volume Sphere,48314,0,3,1,31,0
120311,Range,92443,1,0,1,80,0
120320,Surface Area of Prism,673024,0,2,2,115,0
120324,Parallel and Perpendicular Lines,576937,0,0,1,54,0
120324,Complementary and Supplementary Angles,584500,1,0,1,39,0
120325,Interior Angles Figures with More than 3 Sides,570338,1,0,1,72,0
120332,Complementary and Supplementary Angles,563980,1,0,1,62,0
120333,Ordering Fractions,606853,1,0,1,57,0
120335,Circumference ,637287,1,0,1,68,0
120341,Definition Pi,583751,1,0,1,36,0
120366,Number Line,525,1,0,1,52,0
120366,Volume Sphere,126257,1,0,1,74,0
120373,Equation Solving Two or Fewer Steps,87505,1,0,1,177,0
120391,Multiplication and Division Integers,94843,1,0,1,46,0
120408,Probability of Two Distinct Events,279772,0,2,1,55,0
120408,Solving Systems of Linear Equations by Graphing,406291,1,0,1,51,0
120408,Quadratic Formula to Solve Quadratic Equation,170286,0,3,2,48,0
120439,Properties and Classification Triangles,282498,0,2,2,55,0
120439,Volume Rectangular Prism,126927,0,4,2,26,0
120455,Rounding,568932,1,0,1,48,0
120461,Area Trapezoid,672508,1,0,1,197,0
120473,Definition Pi,583751,1,0,1,26,0
120480,Equation Solving Two or Fewer Steps,685444,1,0,1,107,0
120486,Interior Angles Figures with More than 3 Sides,570340,0,0,2,98,0
120488,Properties and Classification Prism,668739,1,0,1,43,0
120488,Pythagorean Theorem,673147,1,0,1,170,0
120527,Median,257079,1,0,1,114,0
120555,Simplifying Expressions positive exponents,702715,1,0,1,27,0
120607,Probability of a Single Event,279802,1,0,1,23,0
120647,Mean,91174,1,0,1,89,0
120647,Interior Angles Triangle,253887,1,0,1,56,0
120647,Solving for a variable,55121,1,0,1,48,0
120650,Addition and Subtraction Fractions,86726,1,0,1,96,0
120650,Multiplication and Division Positive Decimals,188105,1,0,1,29,0
120650,Surface Area Cylinder,126318,0,3,1,54,0
120669,Conversion of Fraction Decimals Percents,84723,1,0,1,28,0
120675,Division Fractions,401943,1,0,1,91,0
120675,Equation Solving More Than Two Steps,163245,0,3,2,547,0
120706,Addition and Subtraction Fractions,86538,1,0,1,82,0
120706,Distributive Property,187230,1,0,1,98,0
120723,Finding Slope From Equation,129594,1,0,1,85,0
120975,Pattern Finding ,1501,1,0,1,78,0
120975,Conversion of Fraction Decimals Percents,1596,1,0,1,75,0
120986,Equation Solving Two or Fewer Steps,122080,1,0,1,54,0
120998,Estimation,83,0,0,2,43,0
120999,Exponents,188654,1,0,1,54,0
121023,Pythagorean Theorem,140150,0,5,2,259,0
121023,Probability of a Single Event,191111,1,0,1,17,0
121040,Addition and Subtraction Integers,89725,1,0,1,25,0
121040,Multiplication and Division Positive Decimals,660337,1,0,1,65,0
121240,Multiplication Fractions,86848,0,3,3,245,0
121256,Rotations,377937,1,0,1,363,0
121352,Interior Angles Triangle,254205,1,0,1,53,0
121352,Division Fractions,218713,1,0,1,236,0
121360,Addition and Subtraction Fractions,418720,0,3,2,270,0
121365,Division Fractions,402000,1,0,1,86,0
121365,Solving for a variable,55054,1,0,1,70,0
121366,Division Fractions,402017,1,0,1,124,0
121366,Angles on Parallel Lines Cut by a Transversal,88932,1,0,1,37,0
121367,Equation Solving More Than Two Steps,108263,1,0,1,73,0
121370,Interior Angles Figures with More than 3 Sides,137441,1,0,1,59,0
121370,Interior Angles Figures with More than 3 Sides,137482,0,3,3,85,0
121370,Finding y-intercept from Linear Equation,137337,1,0,1,28,0
121371,Rounding,88422,1,0,1,15,0
121372,Multiplication Fractions,86799,1,0,1,34,0
121389,Volume Rectangular Prism,89879,1,0,1,53,0
121436,Equation Solving Two or Fewer Steps,87949,1,0,1,72,0
121531,Properties and Classification Prism,668706,1,0,1,10,0
121531,Area Irregular Figure,673286,1,0,1,179,0
121549,Interior Angles Figures with More than 3 Sides,583727,0,0,1,40,0
121626,Interior Angles Figures with More than 3 Sides,3557,1,0,1,111,0
121628,Equation Solving Two or Fewer Steps,94596,1,0,1,79,0
121646,Area Rectangle,169671,1,0,1,68,0
121832,Solving Systems of Linear Equations,128223,1,0,1,53,0
121848,Histogram as Table or Graph,51355,1,0,1,56,0
121848,Interior Angles Triangle,254093,1,0,1,67,0
121848,Division Fractions,218720,1,0,1,55,0
121848,Addition and Subtraction Fractions,86519,1,0,1,109,0
121859,Square Root,57142,1,0,1,56,0
121880,Volume Pyramid,127825,0,3,3,794,0
121929,Volume Pyramid,129426,1,0,1,41,0
121930,Angles on Parallel Lines Cut by a Transversal,208904,1,0,1,40,0
121930,Finding Slope from Ordered Pairs,148920,0,0,1,127,0
121934,Exponents,583737,1,0,1,41,0
121940,"Angles - Obtuse, Acute, and Right",551828,1,0,1,42,0
121964,Area Circle,89389,0,0,3,81,0
121970,Area Trapezoid,171565,1,0,1,120,0
121971,Addition and Subtraction Integers,53833,1,0,1,215,0
121973,Addition and Subtraction Integers,665289,0,0,2,65,0
121973,Equation Solving More Than Two Steps,174004,1,0,1,102,0
122035,Order of Operations All,50999,1,0,1,116,0
122038,Interior Angles Figures with More than 3 Sides,137475,0,2,3,110,0
122039,Addition and Subtraction Fractions,86531,1,0,1,89,0
122039,Write Linear Equation from Ordered Pairs,167337,0,3,4,206,0
122039,Finding Slope From Situation,148820,1,0,1,49,0
122043,Equation Solving Two or Fewer Steps,87511,1,0,1,31,0
122044,Polynomial Factors,400716,1,0,1,55,0
122045,Addition and Subtraction Integers,53837,1,0,1,76,0
122045,Median,91096,1,0,1,256,0
122045,Multiplication and Division Integers,54458,1,0,1,12,0
122045,Conversion of Fraction Decimals Percents,85860,1,0,1,51,0
122045,Equation Solving More Than Two Steps,163341,0,0,1,329,0
122045,Circumference ,172037,1,0,1,70,0
122048,Equation Solving Two or Fewer Steps,107798,1,0,1,14,0
